source,target,time_fps
fly12,fly11,0
fly9,fly11,0
fly1,fly12,21
fly11,fly12,33
fly1,fly11,42
fly10,fly6,49
fly11,fly1,52
fly10,fly5,61
fly5,fly9,67
fly12,fly1,77
fly5,fly10,89
fly1,fly11,91
fly1,fly8,95
fly11,fly8,141
fly2,fly12,147
fly6,fly3,165
fly12,fly2,175
fly3,fly6,194
fly8,fly7,233
fly7,fly8,242
fly6,fly4,268
fly8,fly6,307
fly6,fly8,307
fly5,fly2,326
fly6,fly9,351
fly1,fly6,357
fly6,fly9,375
fly9,fly6,382
fly8,fly10,390
fly12,fly9,391
fly9,fly12,394
fly10,fly8,395
fly4,fly11,416
fly5,fly11,418
fly8,fly10,469
fly1,fly9,471
fly9,fly8,485
fly7,fly5,490
fly1,fly8,495
fly8,fly10,527
fly1,fly3,536
fly3,fly1,536
fly10,fly9,538
fly9,fly8,556
fly12,fly10,563
fly10,fly1,570
fly12,fly1,592
fly4,fly3,622
fly4,fly5,640
fly4,fly9,643
fly5,fly9,653
fly12,fly7,655
fly3,fly9,657
fly9,fly3,657
fly4,fly9,669
fly7,fly12,672
fly1,fly11,694
fly11,fly1,694
fly7,fly10,703
fly8,fly1,705
fly11,fly8,722
fly12,fly6,742
fly6,fly12,742
fly9,fly3,776
fly9,fly4,800
fly4,fly11,877
fly3,fly4,887
fly3,fly11,891
fly4,fly12,898
fly12,fly4,923
fly1,fly5,939
fly4,fly10,962
fly6,fly12,991
fly10,fly4,992
fly6,fly12,1024
fly7,fly9,1029
fly12,fly6,1058
fly7,fly4,1100
fly9,fly1,1101
fly5,fly7,1108
fly5,fly11,1109
fly11,fly5,1115
fly10,fly6,1127
fly3,fly8,1132
fly4,fly11,1134
fly10,fly12,1155
fly2,fly8,1168
fly9,fly4,1172
fly4,fly9,1174
fly11,fly9,1196
fly6,fly7,1197
fly9,fly11,1204
fly5,fly6,1207
fly7,fly6,1210
fly12,fly5,1226
fly5,fly12,1228
fly11,fly3,1241
fly12,fly5,1253
fly1,fly8,1264
fly7,fly12,1270
fly12,fly7,1275
fly5,fly2,1309
fly3,fly9,1314
fly4,fly11,1326
fly7,fly2,1331
fly2,fly7,1332
fly5,fly2,1345
fly4,fly10,1364
fly9,fly11,1373
fly11,fly9,1376
fly7,fly2,1379
fly1,fly5,1403
fly1,fly5,1428
fly9,fly11,1434
fly7,fly4,1454
fly10,fly12,1457
fly11,fly9,1458
fly1,fly5,1466
fly11,fly8,1468
fly2,fly3,1474
fly2,fly11,1488
fly7,fly1,1489
fly7,fly5,1505
fly5,fly7,1513
fly12,fly10,1517
fly4,fly9,1523
fly11,fly2,1534
fly6,fly8,1556
fly2,fly10,1565
fly10,fly2,1566
fly12,fly10,1576
fly7,fly6,1581
fly2,fly10,1592
fly12,fly2,1595
fly6,fly7,1617
fly12,fly10,1638
fly6,fly10,1675
fly11,fly5,1713
fly12,fly6,1741
fly6,fly12,1745
fly11,fly1,1747
fly9,fly11,1757
fly12,fly8,1796
fly7,fly10,1806
fly12,fly2,1808
fly8,fly3,1808
fly7,fly10,1823
fly8,fly2,1870
fly12,fly2,1876
fly8,fly12,1886
fly1,fly9,1908
fly9,fly1,1916
fly7,fly1,1931
fly1,fly7,1931
fly3,fly9,1953
fly1,fly9,1955
fly2,fly11,1967
fly10,fly2,1970
fly10,fly6,1970
fly2,fly10,1978
fly6,fly2,1980
fly10,fly11,1981
fly8,fly1,1983
fly1,fly8,1984
fly11,fly10,1987
fly8,fly9,1992
fly1,fly9,1996
fly11,fly2,2028
fly6,fly2,2051
fly3,fly2,2071
fly2,fly3,2073
fly10,fly12,2088
fly6,fly10,2119
fly6,fly12,2121
fly12,fly6,2122
fly11,fly3,2129
fly6,fly10,2138
fly10,fly12,2140
fly6,fly9,2148
fly9,fly10,2155
fly11,fly12,2212
fly12,fly11,2214
fly1,fly7,2220
fly11,fly12,2231
fly6,fly9,2234
fly5,fly8,2236
fly12,fly11,2250
fly6,fly10,2256
fly8,fly1,2270
fly6,fly9,2310
fly1,fly10,2311
fly5,fly8,2315
fly7,fly1,2318
fly9,fly1,2331
fly12,fly3,2331
fly2,fly8,2333
fly9,fly7,2336
fly7,fly9,2336
fly9,fly6,2352
fly7,fly6,2353
fly6,fly7,2353
fly7,fly1,2367
fly8,fly12,2385
fly10,fly7,2401
fly5,fly2,2401
fly7,fly6,2406
fly5,fly2,2422
fly9,fly11,2433
fly2,fly12,2437
fly11,fly4,2453
fly4,fly11,2455
fly9,fly3,2456
fly12,fly2,2463
fly12,fly5,2480
fly3,fly4,2489
fly5,fly12,2491
fly12,fly6,2501
fly11,fly1,2508
fly6,fly10,2520
fly12,fly3,2597
fly11,fly2,2619
fly3,fly12,2624
fly10,fly3,2645
fly3,fly10,2650
fly4,fly12,2695
fly7,fly2,2720
fly2,fly7,2721
fly7,fly2,2760
fly12,fly5,2771
fly5,fly12,2772
fly7,fly2,2782
fly10,fly11,2791
fly5,fly12,2795
fly5,fly8,2801
fly12,fly8,2807
fly5,fly12,2812
fly3,fly5,2834
fly4,fly6,2847
fly5,fly3,2849
fly12,fly3,2852
fly5,fly2,2865
fly2,fly5,2865
fly12,fly2,2868
fly2,fly12,2869
fly5,fly3,2871
fly2,fly3,2889
fly3,fly2,2895
fly12,fly5,2895
fly5,fly7,2908
fly7,fly10,2921
fly2,fly4,2921
fly10,fly7,2934
fly11,fly8,2937
fly5,fly6,2939
fly12,fly7,2949
fly6,fly7,2955
fly7,fly12,2959
fly4,fly7,2967
fly10,fly4,2975
fly4,fly10,2976
fly7,fly6,2976
fly8,fly9,2981
fly4,fly6,3001
fly6,fly4,3005
fly3,fly4,3013
fly4,fly3,3029
fly6,fly12,3034
fly7,fly4,3052
fly1,fly12,3067
fly9,fly8,3073
fly5,fly8,3117
fly8,fly5,3121
fly2,fly1,3168
fly9,fly3,3184
fly11,fly7,3187
fly2,fly1,3200
fly5,fly1,3203
fly2,fly5,3220
fly4,fly5,3222
fly7,fly11,3230
fly7,fly12,3241
fly3,fly5,3241
