time_interval_formatted,interaction_count
0s,26
15s,34
30s,17
45s,37
1m 0s,29
1m 15s,37
1m 30s,38
1m 45s,27
2m 0s,35
2m 15s,32
2m 30s,28
2m 45s,30
3m 0s,21
3m 15s,25
3m 30s,26
3m 45s,37
4m 0s,38
4m 15s,34
4m 30s,30
4m 45s,24
5m 0s,31
5m 15s,39
5m 30s,27
5m 45s,20
6m 0s,26
6m 15s,38
6m 30s,25
6m 45s,45
7m 0s,28
7m 15s,29
7m 30s,32
7m 45s,18
8m 0s,30
8m 15s,22
8m 30s,26
8m 45s,29
9m 0s,18
9m 15s,25
9m 30s,22
9m 45s,25
10m 0s,15
10m 15s,17
10m 30s,36
10m 45s,15
11m 0s,24
11m 15s,18
11m 30s,24
11m 45s,18
12m 0s,30
12m 15s,32
12m 30s,21
12m 45s,32
13m 0s,43
13m 15s,24
13m 30s,29
13m 45s,20
14m 0s,31
14m 15s,23
14m 30s,29
14m 45s,16
15m 0s,24
15m 15s,12
15m 30s,20
15m 45s,27
16m 0s,43
16m 15s,28
16m 30s,29
16m 45s,24
17m 0s,26
17m 15s,14
17m 30s,26
17m 45s,30
18m 0s,39
18m 15s,29
18m 30s,29
18m 45s,14
19m 0s,28
19m 15s,20
19m 30s,28
19m 45s,44
